Year,City,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Motor Theft,Arson,Total
2019,Cerritos,50642,127,1,10,65,51,1634,314,1198,122,0,3522
2019,Chico,95826,557,0,100,104,353,2406,272,1753,381,48,5974
2019,Chino,93348,329,3,35,96,195,2224,376,1649,199,5,5111
2019,Chino Hills,84577,95,1,10,20,64,891,222,606,63,5,1977
2019,Chowchilla,18792,39,0,2,3,34,234,71,109,54,7,553
2019,Chula Vista,275230,904,3,61,265,575,3816,486,2503,827,36,9476
2019,Citrus Heights,88496,313,1,46,76,190,2248,372,1607,269,7,5129
2019,Claremont,36681,51,0,6,23,22,774,191,552,31,7,1657
2019,Clayton,12356,1,0,0,1,0,155,14,137,4,0,312
2019,Clearlake,15400,119,1,19,36,63,460,146,210,104,11,1169
2019,Cloverdale,8910,16,0,1,0,15,116,25,87,4,1,265
2019,Clovis,114170,243,0,54,32,157,2276,307,1810,159,6,5044
2019,Coachella,46485,126,0,9,43,74,894,135,580,179,5,2045
2019,Coalinga,16356,41,0,2,4,35,217,38,159,20,4,520
2019,Colma,1512,28,0,0,20,8,325,36,263,26,2,708
2019,Colton,55059,215,1,9,103,102,1517,317,836,364,8,3472
2019,Colusa,5903,6,0,4,1,1,78,28,34,16,0,168
2019,Commerce,12804,138,1,5,49,83,1004,128,624,252,16,2300
2019,Compton,96638,1104,18,40,427,619,2346,334,1285,727,44,6944
2019,Concord,130615,541,2,67,234,238,4560,434,3512,614,23,10225
2019,Corcoran,21353,118,1,8,12,97,272,65,157,50,5,785
2019,Corning,7537,28,0,6,4,18,211,51,127,33,1,479
2019,Corona,170875,291,4,43,103,141,3482,646,2251,585,28,7574
2019,Coronado,21115,9,0,1,7,1,324,34,276,14,2,668
2019,Costa Mesa,114047,312,0,52,104,156,3739,450,2934,355,16,8118
2019,Cotati,7641,40,1,6,5,28,95,15,68,12,1,271
2019,Covina,47985,171,2,25,43,101,1189,239,779,171,11,2731
2019,Crescent City,6716,23,0,2,8,13,311,59,238,14,6,674
2019,Cudahy,23828,89,2,2,29,56,214,39,111,64,3,609
2019,Culver City,39252,182,0,2,102,78,1647,172,1380,95,1,3659
2019,Cupertino,60357,55,1,6,14,34,1018,175,803,40,1,2147
2019,Cypress,49085,52,1,7,21,23,596,98,424,74,2,1298
2019,Daly City,107748,232,0,44,91,97,1868,170,1517,181,12,4212
2019,Dana Point,33779,52,0,0,18,34,399,61,311,27,0,902
2019,Danville,44997,23,1,5,7,10,296,36,247,13,1,639
2019,Davis,69767,107,2,21,44,40,2190,274,1816,100,4,4598
2019,Delano,53002,205,8,8,33,156,1118,203,603,312,40,2686
2019,Del Mar,4369,7,0,1,2,4,67,17,37,13,0,148
2019,Del Rey Oaks,1674,7,0,0,6,1,39,8,30,1,0,92
2019,Desert Hot Springs,29107,255,5,13,59,178,680,301,216,163,4,1874
2019,Diamond Bar,56364,72,1,4,25,42,908,282,574,52,2,1962
2019,Dinuba,24685,161,1,5,25,130,530,58,405,67,20,1402
2019,Dixon,20775,54,0,4,14,36,389,35,284,70,3,889
2019,Dorris,897,4,0,0,0,4,11,8,2,1,0,30
2019,Dos Palos,5594,64,0,0,2,62,169,36,89,44,3,469
2019,Downey,112330,352,4,30,151,167,2473,344,1566,563,4,5654
2019,Duarte,21550,55,0,2,10,43,305,48,215,42,1,721
2019,Dublin,66072,107,0,7,43,57,1259,114,1052,93,3,2735
2019,Dunsmuir,1564,14,0,4,0,10,18,6,11,1,0,64
2019,East Palo Alto,29686,144,1,22,57,64,533,67,360,106,6,1360
2019,Eastvale,66310,83,0,3,23,57,944,151,676,117,0,2054
2019,El Cajon,103686,552,3,38,201,310,2046,371,1316,359,15,5211
2019,El Centro,44303,143,3,9,41,90,1184,228,861,95,7,2661
2019,El Cerrito,25857,152,1,4,91,56,1300,166,1054,80,7,2911
2019,Elk Grove,175492,372,0,35,114,223,2599,292,2107,200,10,5952
2019,El Monte,115830,304,2,34,126,142,1787,347,1046,394,17,4199
2019,El Segundo,16727,82,0,5,30,47,625,164,387,74,1,1415
2019,Emeryville,12380,166,0,12,114,40,2623,95,2415,113,3,5581
2019,Encinitas,63320,86,2,10,15,59,605,115,422,68,1,1383
2019,Escalon,7644,16,0,1,0,15,135,25,102,8,1,303
2019,Escondido,153215,536,4,51,143,338,2373,379,1599,395,8,5826
2019,Etna,716,2,0,1,0,1,0,0,0,0,0,4
2019,Eureka,26973,195,3,29,63,100,1350,187,977,186,24,3114
2019,Exeter,10557,26,0,5,5,16,265,52,188,25,1,583
2019,Fairfax,7569,9,0,3,0,6,92,13,77,2,0,202
2019,Fairfield,118383,442,5,48,162,227,3782,359,2780,643,23,8471
2019,Farmersville,10781,35,0,0,5,30,190,24,138,28,3,453
2019,Ferndale,1363,4,0,0,0,4,24,2,17,5,0,56
2019,Fillmore,15911,20,0,5,3,12,123,24,89,10,4,290
2019,Firebaugh,8433,11,0,2,2,7,103,15,51,37,0,228
2019,Folsom,79927,82,0,12,29,41,1484,278,1127,79,3,3135
2019,Fontana,215883,739,6,83,206,444,3094,483,1846,765,9,7675
2019,Fort Bragg,7366,32,0,5,7,20,316,38,262,16,1,697
2019,Fort Jones,690,2,0,1,0,1,34,12,21,1,0,72
2019,Fortuna,12317,28,0,2,9,17,317,50,231,36,7,697
2019,Foster City,34624,39,0,10,8,21,425,63,341,21,2,930
2019,Fountain Valley,55858,53,0,5,23,25,1163,163,914,86,7,2439
2019,Fowler,6904,29,1,2,5,21,104,42,43,19,0,266
2019,Fremont,240887,400,1,36,159,204,4523,547,3408,568,17,9863
2019,Fullerton,140194,373,2,80,108,183,3157,318,2479,360,13,7073
2019,Galt,26796,77,0,10,15,52,449,71,340,38,7,1059
2019,Gardena,59833,324,3,20,131,170,1202,236,658,308,6,3058
2019,Garden Grove,172832,505,6,54,185,260,3909,627,2778,504,17,8845
2019,Gilroy,60106,251,5,37,69,140,1479,186,1034,259,23,3483
2019,Glendale,202601,231,5,16,93,117,3305,480,2562,263,13,7085
2019,Glendora,52211,155,1,21,38,95,1501,187,1241,73,6,3318
2019,Goleta,30930,40,0,2,6,32,509,114,355,40,0,1098
2019,Gonzales,8408,17,0,1,4,12,73,12,40,21,1,181
2019,Grand Terrace,12651,37,1,4,8,24,237,55,149,33,4,552
2019,Grass Valley,12919,73,3,0,6,64,463,76,326,61,1,1073
2019,Greenfield,17809,54,1,9,9,35,165,31,98,36,12,450
2019,Gridley,6618,29,0,15,3,11,205,47,136,22,3,471
